Institute ID,Name,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),City,State,Score,Rank
IR-O-U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, MumbaiMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)67.363.0964.2762.1024.39",67.36,3.09,64.27,62.1,24.39,Mumbai,Maharashtra,42.64,81
TLR (100),RPC (100),,,,,,,,,
67.36,3.09,,,,,,,,,
IR-O-U-0372,Central University of PunjabMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)54.6119.0355.2868.4526.53,54.61,19.03,55.28,68.45,26.53,Bathinda,Punjab,42.64,81
TLR (100),RPC (100),,,,,,,,,
54.61,19.03,,,,,,,,,
IR-O-U-0298,"Dr. Babasaheb Ambedkar Marathwada University, AurangabadMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)42.2316.1292.1646.1820.28",42.23,16.12,92.16,46.18,20.28,Aurangabad,Maharashtra,42.59,83
TLR (100),RPC (100),,,,,,,,,
42.23,16.12,,,,,,,,,
IR-O-U-0444,Avinashilingam Institute for Home Science & Higher Education for WomenMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)62.123.7565.8860.7135.08,62.12,3.75,65.88,60.71,35.08,Coimbatore,Tamil Nadu,42.53,84
TLR (100),RPC (100),,,,,,,,,
62.12,3.75,,,,,,,,,
IR-O-U-0449,Central University of Tamil NaduMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)59.8114.4961.1364.0615.36,59.81,14.49,61.13,64.06,15.36,Tiruvarur,Tamil Nadu,42.47,85
TLR (100),RPC (100),,,,,,,,,
59.81,14.49,,,,,,,,,
IR-O-U-0232,Kuvempu UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)54.5215.7072.8250.1818.00,54.52,15.7,72.82,50.18,18,Shivamogga,Karnataka,42.44,86
TLR (100),RPC (100),,,,,,,,,
54.52,15.7,,,,,,,,,
